object_id,utility_id,company_name,utility_type,electric_type,service_class,shape_area,shape_length
1,0.0,Fulton Electric & Gas Systems,0,Municipal,Municipal,201953632.96367735,86621.18121181642
2,0.0,Hickman Electric & Gas Systems,0,Municipal,Municipal,77181462.65975505,134437.8752453397
3,0.0,Hickman Electric & Gas Systems,0,Municipal,Municipal,1210934.4274975471,5395.96428995906
4,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,9104593.21575116,12148.40823652682
5,0.0,Hickman Electric & Gas Systems,0,Municipal,Municipal,65250826.78784799,54911.51846102676
6,0.0,Gibson Electric Membership Corp.,0,TVA,TVA Gibson Electric Membership Corp.,747596932.6011974,100025.85690622649
7,0.0,Murray Electric and Natural Gas Syst,0,Municipal,Municipal,204105689.89879093,83573.83262045427
8,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,76546.7716170377,1063.2511661537924
9,3100.0,South Kentucky R.E.C.C.,200,RECC,RECC South Kentucky R.E.C.C.,814130.5072920219,3368.255036106476
10,3100.0,South Kentucky R.E.C.C.,200,RECC,RECC South Kentucky R.E.C.C.,16589983.151886048,22419.202594098933
11,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,118521001.62781414,62379.91361505546
12,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,70443.6545145116,1018.5317461015778
13,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,18456267.20489875,19652.24724633241
14,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,42748.51467007395,940.5500598595432
15,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,304195.8201824725,2227.7649449467276
16,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,160911.78462814292,1564.1732940411364
17,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,112403880.08474153,106725.69713697681
18,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,499296.1631753134,2697.9346238473563
19,3100.0,South Kentucky R.E.C.C.,200,RECC,RECC South Kentucky R.E.C.C.,6785661.250986192,17347.814201148012
20,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,383950.4863899756,2670.9043844142866
21,3100.0,South Kentucky R.E.C.C.,200,RECC,RECC South Kentucky R.E.C.C.,962148.1727514148,3803.213140349943
22,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,201660649.73487157,83325.83558995785
23,0.0,Jellico Electric & Water System,0,Municipal,Municipal,2366095463.6299825,218009.95324428153
24,3100.0,South Kentucky R.E.C.C.,200,RECC,RECC South Kentucky R.E.C.C.,523885.3702593789,3479.5494006894733
25,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,1521147.5343709223,6998.096100055105
26,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,28842901.11149426,46696.07663769543
27,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,208765.00415205062,1775.260757994395
28,0.0,Franklin Electric Plant Board,0,Municipal,Municipal,245221971.01942444,99511.02683727752
29,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,505147172.4772094,110802.24925708635
30,0.0,Mayfield Electric & Water Systems,0,Municipal,Municipal,265112522.78349593,90675.71143144944
31,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,318716658.7909452,150284.8587003768
32,0.0,Russellville Electric Plant Board,0,Municipal,Municipal,311230242.19115233,76857.06476830061
33,0.0,Benton Electric & Gas Systems,0,Municipal,Municipal,86157305.80239797,90280.95453760629
34,0.0,Hopkinsville Electric System,0,Municipal,Municipal,375168732.0018352,138377.16711176583
35,0.0,Barbourville,0,Municipal,Municipal,354787325.64964664,155609.11217576955
36,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,2113448.3090123055,6227.244409024749
37,0.0,Bardwell City Utilities,0,Municipal,Municipal,18344308.266208023,19144.65088224085
38,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,418555.1639057755,2529.247684709085
39,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,6582793.9144413415,13647.853609265361
40,0.0,Corbin,0,Municipal,Municipal,130656911.46663159,70466.17410061712
41,0.0,Gibson Electric Membership Corp.,0,TVA,TVA Gibson Electric Membership Corp.,13540110461.655909,1135328.8034243847
42,0.0,Tri-County REMC,0,TVA,TVA Tri-County REMC,31719379331.899715,1356237.5086117445
43,0.0,Benham City Utilities,0,Municipal,Municipal,45716803.50776757,23968.9148845555
44,0.0,Bowling Green Municipal,0,Municipal,Municipal,725642316.3816684,216847.92553613783
45,0.0,Glasgow Electric Plant Board,0,Municipal,Municipal,270736848.89225245,109794.03827557623
46,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,20302907013.24551,1175886.2552873222
47,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,173795755.07382375,102011.72730840341
48,0.0,West Kentucky RECC,0,TVA,TVA West Kentucky RECC,35195933801.07583,1514648.4068258328
49,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,13743869.845512344,17119.947990136654
50,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,892788.0423528854,4891.81426915614
51,1300.0,"Cumberland Valley Electric, Inc.",200,RECC,"RECC Cumberland Valley Electric, Inc.",21227672254.118065,1657808.5783652097
52,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,15208450.85608099,17316.99748043224
53,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,1306764.2075141282,5122.3635391860025
54,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,422309983.4302933,283581.6840936248
55,2400.0,Jackson Purchase Energy Corporation,200,RECC,RECC Jackson Purchase Energy Corporation,346169315.2277003,79020.95422859481
56,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,7419111.344384603,17337.326902432447
57,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,2360754.2875502566,6031.158515465899
58,1500.0,Farmers R.E.C.C.,200,RECC,RECC Farmers R.E.C.C.,10173244.889759853,11739.156266691018
59,3100.0,South Kentucky R.E.C.C.,200,RECC,RECC South Kentucky R.E.C.C.,471688.50056517613,2581.6676814456437
60,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,103657593.04705386,55436.671422383166
61,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,836046.11665183,4803.183296902883
