weather_natural_key,location_id,location_name,state,latitude,longitude,forecast_date,weather_code,weather_description,weather_code_missing_flag,temperature_max_f,temperature_min_f,temperature_avg_f,temperature_missing_flag,precipitation_sum_in,wind_speed_max_mph,wind_gust_max_mph,sunrise_time,sunset_time,heating_degree_days,cooling_degree_days,wind_risk_category,precipitation_risk_category,demand_category,extracted_at,pipeline_run_timestamp
1_2026-05-31,1,Louisville,KY,38.2542,-85.7594,2026-05-31,3,Overcast,False,83.9,58.6,71.25,False,0.0,7.9,21.3,06:21,20:59,0.0,6.25,Low,Low,Cooling Demand,2026-05-31T07:20:44,2026-05-31T07:20:45
1_2026-06-01,1,Louisville,KY,38.2542,-85.7594,2026-06-01,61,Slight rain,False,76.2,66.9,71.55000000000001,False,0.055,6.5,14.3,06:21,21:00,0.0,6.550000000000011,Low,Low,Cooling Demand,2026-05-31T07:20:44,2026-05-31T07:20:45
1_2026-06-02,1,Louisville,KY,38.2542,-85.7594,2026-06-02,3,Overcast,False,75.3,57.6,66.45,False,0.0,12.7,28.4,06:20,21:01,0.0,1.4500000000000028,Low,Low,Mild Demand,2026-05-31T07:20:44,2026-05-31T07:20:45
1_2026-06-03,1,Louisville,KY,38.2542,-85.7594,2026-06-03,0,Clear sky,False,77.4,53.8,65.6,False,0.0,8.2,28.9,06:20,21:01,0.0,0.5999999999999943,Low,Low,Mild Demand,2026-05-31T07:20:44,2026-05-31T07:20:45
1_2026-06-04,1,Louisville,KY,38.2542,-85.7594,2026-06-04,3,Overcast,False,81.4,57.4,69.4,False,0.0,7.0,7.2,06:20,21:02,0.0,4.400000000000006,Low,Low,Mild Demand,2026-05-31T07:20:44,2026-05-31T07:20:45
1_2026-06-05,1,Louisville,KY,38.2542,-85.7594,2026-06-05,3,Overcast,False,83.4,62.8,73.1,False,0.0,8.2,12.5,06:20,21:03,0.0,8.099999999999994,Low,Low,Cooling Demand,2026-05-31T07:20:44,2026-05-31T07:20:45
1_2026-06-06,1,Louisville,KY,38.2542,-85.7594,2026-06-06,51,Light drizzle,False,88.1,67.3,77.69999999999999,False,0.012,9.2,20.8,06:19,21:03,0.0,12.699999999999989,Low,Low,Cooling Demand,2026-05-31T07:20:44,2026-05-31T07:20:45
1_2026-06-07,1,Louisville,KY,38.2542,-85.7594,2026-06-07,53,Moderate drizzle,False,81.6,70.5,76.05,False,0.283,6.8,19.5,06:19,21:04,0.0,11.049999999999997,Low,Moderate,Cooling Demand,2026-05-31T07:20:44,2026-05-31T07:20:45
1_2026-06-08,1,Louisville,KY,38.2542,-85.7594,2026-06-08,53,Moderate drizzle,False,89.0,71.7,80.35,False,0.201,10.8,19.9,06:19,21:04,0.0,15.349999999999994,Low,Low,Cooling Demand,2026-05-31T07:20:44,2026-05-31T07:20:45
1_2026-06-09,1,Louisville,KY,38.2542,-85.7594,2026-06-09,95,Thunderstorm,False,91.1,74.9,83.0,False,0.094,10.0,26.4,06:19,21:05,0.0,18.0,Low,Low,Cooling Demand,2026-05-31T07:20:44,2026-05-31T07:20:45
